kekuleSmiles	Molecule ChEMBL ID	pAct(norm)	DrugName	Assay Cell Type	Obs	ActivityFilter	Type	nre
CC(C)C(=O)N(CC=1C=CC(=CC1Cl)Cl)[C@H]2CCNC2	CHEMBL513139	4.4		None	pIC50	inactive	other	6213
O=C1COC=2C=CC=CC2N1CCCN3CCC(CC3)N4C(=O)NC5=C4C=CN=C5	CHEMBL2059315	4.34		CHO	pIC50	inactive	other	6214
CCN1C(=O)C=2N=C(N(C2N3C1=NC4(C3)CCC5=C4C=CC=C5)CC=6C=CC=CC6)CC=7C=CC=CC7	CHEMBL1778033	5.64		None	pIC50	intermediate	other	6215
C[C@H]1CN(C[C@H](N1)C)CC=2C=CC(=CC2)C=3C=CC=NC3C(=O)N4CCC(CC4)NC=5C=CC(=CC5)F	CHEMBL473921	3.9		None	pIC50	inactive	other	6216
CC=1C=C(N=C(N1)C=2C=CC=CN2)COC=3C=CC(=C(C3F)F)F	CHEMBL3739712	3.9		None	pIC50	inactive	other	6217
CC(C)(C)NC(=O)C1C=2C=C(C=CC2C(=O)N1CC=3C=CC=CC3C=4C=CC=CC4)C#N	CHEMBL3786868	3.88		None	pIC50	inactive	other	6218
COC=1C=C(C=CC1OC=2C=CC(=CC2NS(=O)(=O)C=3C=CC(=C(C3)C(F)(F)F)Cl)Cl)C(=O)NCCN4CCCC4	CHEMBL1924024	4.6		None	pIC50	inactive	other	6219
CCOC=1C=C(N=CC1C#N)C(O)CN2CCN(CC2)C[C@H](O)C=3C=CC4=C(C3C)COC4=O	CHEMBL3612926	4.92		HEK293	pIC50	intermediate	other	6220
CC=1C(=CC=C(C1C#N)F)[C@@H]2CN3CCN(C[C@H]3CO2)C(=O)CC=4C=CC(=NC4)N5C=NN=N5	CHEMBL3911740	5		None	pIC50	intermediate	other	6221
O=C1OCCC2=C1C=CC(=C2)[C@H]3CN4CCN(C[C@@H]4CO3)C(=O)CC=5C=CC(=NC5)N6C=NN=N6	CHEMBL3942711	4.38		None	pIC50	inactive	other	6222
CC=1C(=CC=C(C1C#N)F)[C@H]2CN3CCN(C[C@H]3CO2)C(=O)CC=4C=CC(=NN4)N5C=NN=N5	CHEMBL3900985	4.47		None	pIC50	inactive	other	6223
O=P(NCC=1C=CC=CC1C=2C=CC=NC2)(C=3C=CC=CC3)C=4C=CC=CC4	CHEMBL2312924	3.88		None	pIC50	inactive	other	6224
O=P(NC=1C=C(C=CC1N2C=CC=N2)F)(C=3C=CC=CC3)C=4C=CC=CC4	CHEMBL2312923	3.88		None	pIC50	inactive	other	6225
COC=1C=C(C=CC1NC=2N=CC(=C(N2)C3=CN=C4N3C=CC=C4)Cl)N5CCN(CC5)C(=O)[C@@H](C)N	CHEMBL1809075	4.85		None	pIC50	intermediate	other	6226
CCCN(C=1C=NC=NC1)P(=O)(C=2C=CC=CC2)C=3C=CC=CC3	CHEMBL2313230	3.88		None	pIC50	inactive	other	6227
O=P(C=1C=CC=CC1)(C=2C=CC=CC2)N(C=3C=CC=NC3)C=4C=CC=NC4	CHEMBL2313225	3.88		None	pIC50	inactive	other	6228
CC=1C=CC=CC1C(=O)N	CHEMBL1489405	4.45		None	potency	inactive	other	6229
O=[N+]([O-])C=1C=CC=CC1NC=2C=CC=CC2	CHEMBL1450018	4.45		None	potency	inactive	other	6230
C=1C=CC=2SC(=NC2C1)SSC3=NC=4C=CC=CC4S3	CHEMBL508112	4.4		None	potency	inactive	other	6231
O=C1C=2C=CC=CC2[Se]N1C=3C=CC=CC3	CHEMBL51085	4.45		None	potency	inactive	other	6232
OC=1C=CC(=CC1SC=2C=C(C=CC2O)Cl)Cl	CHEMBL473535	4.5	fenticlor	None	potency	inactive	other	6233
C[C@@H](CC=1C=CC(=C(C1)O)O)[C@H](C)CC=2C=CC(=C(C2)O)O	CHEMBL313972	4.45	masoprocol	None	potency	inactive	other	6234
CC=1C=NC(=CN1)C(=O)NCCC=2C=CC(=CC2)S(=O)(=O)NC(=O)NC3CCCCC3	CHEMBL1073	4.45	glipizide	None	potency	inactive	other	6235
CC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@H]5[C@@]43C)Cl)C)C(=O)C	CHEMBL1316953	4.45	cyproterone acetate	None	potency	inactive	other	6236
COC=1C=C(C=CC1O)CNC(=O)CCCCCCC(C)C	CHEMBL311158	4.45		None	potency	inactive	other	6237
CN(C)C=1C=CC(=CC1)CC=2C=CC(=CC2)N(C)C	CHEMBL1613260	4.15		None	potency	inactive	other	6238
CN(C)C(=O)C(=O)NC(C)(C)C1=NC(=C(C(=O)N1C)O)C(=O)NCC=2C=CC(=CC2)F	CHEMBL495331	3.7		None	pIC50	inactive	other	6239
CCN(CC=1C=CC=CC1)C=2C=CC=CC2	CHEMBL1479610	4.45		None	potency	inactive	other	6240
COC=1C=CC=CC1N2CCN(CC2)CCN(C(=O)C3CCCCC3)C=4C=CC=CN4	CHEMBL1256924	4.5		None	potency	inactive	other	6241
CCCCOC(=O)C=1C=CC=CC1C(=O)OCCCC	CHEMBL272485	4.1	dibutylphthalate	None	potency	inactive	other	6242
COC=1C=CC(=C(C1)O)C(=O)C=2C=CC=CC2	CHEMBL1625	4.45	oxybenzone	None	potency	inactive	other	6243
CC1=NN(C(=C1NC=2N=CC(=C(N2)C=3C=NN4C3C=CC=C4)Cl)C)C5CCN(CC5)C(=O)CO	CHEMBL3822587	4.66		CHO-K1	pIC50	intermediate	other	6244
CC1=NN(C(=C1NC=2N=CC(=C(N2)C=3C=NN4C3C=CC=C4)Cl)C)C5CCN(CC5)C(=O)[C@@H](C)O	CHEMBL3823030	4.54		CHO-K1	pIC50	inactive	other	6245
COCC[C@@H]1C[C@@H](CC[C@@H]1NC(=O)CNC(=O)C=2C=CC=C(C2)C(F)(F)F)N(C)C(C)C	CHEMBL3577938	3.5		HEK293	pIC50	inactive	other	6246
O=C1CCC=2C(=CC=NC2N1)OC=3C=CC4=C(C3)C[C@@H](CC4)NC(=O)C=5C=C(C=C(C5)C(F)(F)F)C6=CN=CN6	CHEMBL3765355	3.88		None	pIC50	inactive	other	6247
CC(C)N(CCC(C(=O)N)(C=1C=CC=CC1)C=2C=CC=CN2)C(C)C	CHEMBL517	5.11	disopyramide	None	pIC50	intermediate	other	6248
C=1C=CC(=NC1)NC2=NC3=C(S2)CCCC=4C3=CNN4	CHEMBL1830707	4.55		None	pIC50	inactive	other	6249
CCOC(=O)NC=1C=CC=C(C1)[C@@H](C=2C=CC(=CC2)C(=O)N(C)CC)N3CCN(CC3)CC=4N=CNC4C	CHEMBL1939749	3.88		None	pIC50	inactive	other	6250
NC1=NC=2C=CC(=CC2N1CC(O)C=3C=CC=C(C3Cl)Cl)Cl	CHEMBL3289802	3.88		None	pIC50	inactive	other	6251
CC=1C=C(C=NC1CC(=O)N2CCN(CC2)CCC=3C=CC4=C(C3C)COC4=O)N5C=NN=N5	CHEMBL3793380	4.28		None	pIC50	inactive	other	6252
N#CC=1C=CC(=NC1)N2CC[C@@H]([C@@H](C2)F)NC=3C(=CN=C4C3C=CN4)C(=O)N	CHEMBL3593778	3.4		CHO-K1	pIC50	inactive	other	6253
N[C@H]1C[C@H](CC[C@@H]1C=2C=C(C(=CC2F)F)F)N3CC4=NN5C=CC=NC5=C4C3	CHEMBL3806003	3.4		None	pIC50	inactive	other	6254
CC=1C=C(C=C(C1OCCCC(=O)O)C)C=2C=C(C=CC2Cl)OC(F)(F)F	CHEMBL3909872	4.26		None	pIC50	inactive	other	6255
O=S1(=O)CCC(CC1)COC=2C=CC3=C(C2)CCC4(O3)CCN(CC4)C5CCC5	CHEMBL1935426	3.92		None	pIC50	inactive	other	6256
N#CC=1C=CC=C(C1)NP(=O)(C=2C=CC=CC2)C=3C=CC=CC3	CHEMBL2312919	3.88		None	pIC50	inactive	other	6257
CC1=NC(=C(S1)C2=CSC(=N2)NC=3C=CC(=CN3)C(=O)N4C5COCC4CC(=O)C5)C	CHEMBL3906074	3.92		None	pIC50	inactive	other	6258
CC=1C(=CC=C2C1COC2=O)[C@@H](O)CN3CCN(CC3)CC(O)C=4C=C(C(=CN4)C#N)C5CC5	CHEMBL3612924	4.85		HEK293	pIC50	intermediate	other	6259
COC=1C=C2C(=CC(=NC2=CC1OCCCN3CCCC3)C4=CC=C(O4)C)NC5CC6CCC(C5)N6C	CHEMBL4205373	3.4		None	pIC50	inactive	other	6260
COC=1C=CC=CC1OC=2C=CC=C(C2)CN3CCC4(CC3)CCN(CC4)C(=O)C=5C=CN=CN5	CHEMBL574655	5.72		CHO-K1	pIC50	intermediate	other	6261
COC=1C=C2C(=CC(=NC2=CC1OC3CC4(C3)CN(C4)C)C5=CC=C(O5)C)NC6CCN(CC6)C	CHEMBL4215326	3.4		None	pIC50	inactive	other	6262
CC1(C=CC=2C=CC=C(C2O1)CN3CCC4(CC3)CCN(CC4)C(=O)C=5C=CN=C(C5)N)C	CHEMBL568522	4.42		CHO-K1	pIC50	inactive	other	6263
CC1=CC(=NN1)N2C=NC3=C2N=C(C=C3)N[C@@H](C)C=4N=CC(=CN4)F	CHEMBL2151320	3.89		None	pIC50	inactive	other	6264
CCCC1(CC=2C(=CC=CC2O1)CN3CCC4(CC3)CCN(CC4)C(=O)C=5C=CC(=CN5)N)CC	CHEMBL567417	5.46		CHO-K1	pIC50	intermediate	other	6265
COC=1C=C2C(=CC(=NC2=CC1OCCCN3CCCC3)C4=CC=C(O4)C)NC5CCC56CCN(CC6)C	CHEMBL4208812	3.4		None	pIC50	inactive	other	6266
CC=1C=CC=C(C1)N/C(=N/C#N)/C2=CC=C(O2)C=3C=CC(=CC3)Cl	CHEMBL255023	3.92		CHO	pIC50	inactive	other	6267
COCCOC=1C=C(C=2C(=NC=NC2C1)NC=3C=CC(=CC3)NC(=O)CN4C=C(N=N4)C(C)C)F	CHEMBL4216473	3.88		None	pIC50	inactive	other	6268
CC1=NSC(=N1)C2=NN=C3N2CCN([C@@H]3CCO)C(=O)C=4C=CC(=CC4)F	CHEMBL3608741	4.3		None	pIC50	inactive	other	6269
CN(CCCC(=O)NCC#N)C(=O)C=1C=CC2=C(C1)C3=C(N2C)CC[C@H](C3)C4CCOCC4	CHEMBL2029739	3.88		None	pIC50	inactive	other	6270
O=C1C=CC=2N=CC(=O)N3C2N1C[C@H]3CN4CCC(CC4)NCC=5C=C6C(=CN5)OCCC6	CHEMBL3317856	2.85		None	pIC50	inactive	other	6271
COC=1C=C(C=C(N1)OC)[C@](O)(CCN(C)C)[C@@H](C=2C=C3C=C(C=CC3=NC2OC)Br)C=4C=C(N=C(C4OC)OC)OC	CHEMBL4553146	3.92		None	pIC50	inactive	other	6272
CN(CCCC(=O)NC1CC1)C(=O)C=2C=CC3=C(C2)C4=C(N3C)CCC(C4)C5CCOCC5	CHEMBL2029718	3.88		None	pIC50	inactive	other	6273
CN(CC(=O)NC1CC1)C(=O)C=2C=CC3=C(C2)C4=C(N3C)CCC(C4)C5CCOCC5	CHEMBL2029721	3.88		None	pIC50	inactive	other	6274
CC(C)C1(OC(=O)NC1=O)C2=CC=C(NC2=O)C=3C=CC=4C=CC=CC4C3	CHEMBL1770317	3.7		None	pIC50	inactive	other	6275
CCS(=O)(=O)N1C2=C(C3=C1C=CC(=C3)C(=O)N4CCC(CC4)C)CN(CC2)C5CCOC5	CHEMBL1950488	4.6		None	pIC50	inactive	other	6276
NC1=NC=CN1CC(O)C=2C=CC(=CC2F)Cl	CHEMBL3289792	4.22		None	pIC50	inactive	other	6277
CC1=CN(C(=N1)N)CC(O)C=2C=CC(=CC2Cl)Cl	CHEMBL3289795	3.88		None	pIC50	inactive	other	6278
CC1=CC(=NO1)CN2CCN(CC2)C=3C(=CN=C4C3N=C(N4)C5=CN(N=C5C)C)Cl	CHEMBL2207518	5.2		None	pIC50	intermediate	other	6279
C[C@H](C1=NC2=C(C=NN2C3CCCC3)C(=O)N1)N4CC(C4)C=5N=CC=CN5	CHEMBL2180070	4.27		None	pIC50	inactive	other	6280
CC1=CC(=NO1)CN2CCN(CC2)C=3C(=CN=C4C3NC(=N4)C=5C=CC(=CC5)N6CCN(CC6)C)Br	CHEMBL1236904	5.52		None	pIC50	intermediate	other	6281
CN1CCC(CC1)NC(=O)C=2C=CC(=CC2)OC=3C=CC(=CC3)C#C[C@@]4(CN5CCC4CC5)O	CHEMBL1940308	3.4		None	pIC50	inactive	other	6282
COC=1C=CC(=CC1)C(=O)OC=2C=CC(=CC2)S(=O)(=O)C3(CCC4(C3)CCNCC4)C(=O)NO	CHEMBL3417767	4.2		None	pIC50	inactive	other	6283
C[C@H](C1=NC(=NO1)C=2C=CC(=CC2Cl)S(=O)(=O)C)[C@H](N)C(=O)N3CCCC3	CHEMBL437206	3.92		None	pIC50	inactive	other	6284
OC=1C(=CC(=CC1SC=2C=C(C=C(C2O)Cl)Cl)Cl)Cl	CHEMBL290106	4.1	bithionol	None	potency	inactive	other	6285
CC(C)COC(=O)C=1C=CC=CC1C(=O)OCC(C)C	CHEMBL1370662	4.45		None	potency	inactive	other	6286
ClC(Cl)(Cl)C(Cl)(Cl)Cl	CHEMBL160929	4.4		None	potency	inactive	other	6287
CCN1C=CN=C1CC2COC=3C=CC=CC3O2	CHEMBL578481	4.55		None	potency	inactive	other	6288
CC=1N=C(C=CC1C#N)C(O)CN2CCN(CC2)C[C@H](O)C=3C=CC4=C(C3C)COC4=O	CHEMBL3612814	4.85		HEK293	pIC50	intermediate	other	6289
COC=1C=C(C(=CC1C(=O)OCCN2CCCCC2)Cl)N	CHEMBL286136	4.6		None	potency	inactive	other	6290
CN1C=NC2=C1C(=O)NC(=O)N2C	CHEMBL1114	4.6	theobromine	None	potency	inactive	other	6291
C=1C=CC(=CC1)NC=2C=CC=3C=CC=CC3C2	CHEMBL1543632	4.6		None	potency	inactive	other	6292
N#CSCSC#N	CHEMBL1524617	4.5		None	potency	inactive	other	6293
CC=1N=CN(N1)C=2C=C(C(=C(C2)Cl)C(=O)NC[C@@H](C=3C=CC=C(C3)F)C4=NC=5C(=CC=C(C5C(=O)N4)C)F)Cl	CHEMBL3627899	3.62		None	pIC50	inactive	other	6294
CC(C)OC1=CC(=NN1)N2C=NC3=C2N=C(C=C3)N[C@@H](CO)C=4C=CC(=CN4)F	CHEMBL2151322	4.28		None	pIC50	inactive	other	6295
BrC=1C=CC(=C(C1)Br)OC=2C=C(C(=CC2Br)Br)Br	CHEMBL374400	4.4		None	potency	inactive	other	6296
CC(C)(C#N)C1=CN=C(S1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N	CHEMBL2070948	3.4		None	pIC50	inactive	other	6297
N#CC1(CC1)NC(=O)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)C4=NC5=C(S4)COCC5	CHEMBL2071097	3.4		None	pIC50	inactive	other	6298
CCC1=CSC(=N1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N	CHEMBL2070940	3.4		None	pIC50	inactive	other	6299
N#CC1(CC1)NC(=O)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)C4=NC=5C=CC=NC5S4	CHEMBL2070949	3.4		None	pIC50	inactive	other	6300
CCS(=O)(=O)NC=1C=C(C=C2C1C=CN2C(C)(C=3C=CC=CN3)C=4C=CC=CN4)C5=CN(C6=C5C=CNC6=O)C	CHEMBL4637258	4.53		HEK293	pIC50	inactive	other	6301
CC=1C(=CC=C2C1COC2=O)[C@@H]3CN4CCN(C[C@H]4CO3)C(=O)CC=5C=CC(=NC5)N6C=NN=N6	CHEMBL3929578	4.71		None	pIC50	intermediate	other	6302
O=C(O)/C=C/C=1C=CC(=CC1)/C=C/C(=O)O	CHEMBL1499488	4.1		None	potency	inactive	other	6303
CC=1C(=CC=CC1[C@H]2CN3CCN(C[C@H]3CO2)C(=O)CC=4C=CC(=NC4)N5C=NN=N5)C#N	CHEMBL3896006	4.75		None	pIC50	intermediate	other	6304
CC=1C=C(C2=C(C1)C(=O)C=3C=C(C=C(C3C2=O)O)O)O	CHEMBL289277	4.4		None	potency	inactive	other	6305
CC/C(=C(/CC)\C=1C=CC(=CC1)O)/C=2C=CC(=CC2)O	CHEMBL411	4.35	diethylstilbestrol	None	potency	inactive	other	6306
C=CCOC(=O)CCCCCCCC	CHEMBL1506537	4.1		None	potency	inactive	other	6307
CCCCCCCC/C=C\CCCCCCCC(=O)N(CCO)CCO	CHEMBL15712	4.5		None	potency	inactive	other	6308
CC(C=O)CC=1C=CC(=CC1)C(C)(C)C	CHEMBL1496715	4.3		None	potency	inactive	other	6309
C=1C=CC(=CC1)NNC=2C=CC=CC2	CHEMBL558459	4.45		None	potency	inactive	other	6310
BrC=1C=CC=C(C1)C=2C=CC=CC2	CHEMBL1899525	4.45		None	potency	inactive	other	6311
COC=1C=NC(=NC1NCC=2C=CC(=CC2C(F)(F)F)F)C=3C=CC=CN3	CHEMBL2070134	4		None	pIC50	inactive	other	6312
N#CC=1C=CC(=NC1)NC(=O)[C@H](COCCO)OC=2N=CN=C3C2C=NN3C=4N=CC=CC4Cl	CHEMBL3221507	4.3		None	pIC50	inactive	other	6313
C[C@@H](CO)OC[C@H](OC=1N=CN=C2C1C=NN2C=3N=CC=CC3Cl)C(=O)NC=4C=CC(=CN4)C#N	CHEMBL3221511	4.2		None	pIC50	inactive	other	6314
O=C(NC=1C=CC(=CN1)Cl)[C@H](CN2CC(C2)O)OC=3N=CN=C4C3C=NN4C=5C=CC=CC5Cl	CHEMBL3221517	5		None	pIC50	intermediate	other	6315
O=C(NC=1C=CC(=CN1)F)[C@H](COCCO)OC=2N=CN=C3C2C=NN3C=4C=CC=CC4Cl	CHEMBL3221521	4.4		None	pIC50	inactive	other	6316
O=C(CN1C=NC=CC1=O)NC=2C=CC(=CC2)C[C@@H]3CC[C@@H](N3)[C@H](O)C=4C=CC=CC4	CHEMBL3764950	3.92		None	pIC50	inactive	other	6317
O=C(NC=1C=CC(=CC1)C[C@@H]2CC[C@@H](N2)[C@H](O)C=3C=CC=CC3)[C@@H]4CCC=5N4C(=O)C=CN5	CHEMBL2107826	3.92	vibegron	None	pIC50	inactive	other	6318
CN(C[C@@H](O)CN1CCC(CC1)OC=2C=CC(=C(C2)Cl)Cl)C(=O)C3=CNC(=O)C4=C3C=CC=C4	CHEMBL2208433	5.7		HEK293	pIC50	intermediate	other	6319
COC=1C=CC(=CC1)CN2C=NC3=C2C=C(C(=C3NS(=O)(=O)C)C)C	CHEMBL1537587	3.92		0	pIC50	inactive	other	6320
CS(=O)(=O)C=1C=CC2=C(C1)N=C(N2CC=3C=CC=CC3)C(F)(F)F	CHEMBL3699575	3.92		0	pIC50	inactive	other	6321
CC[C@H](C)[C@H](NC(=O)[C@@H](CC=1C=CC=CC1)NC)C(=O)N[C@@H](CO)C(=O)N[C@H](CCC(=O)N)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O[C@H]2C)[C@@H](C)CC)C[C@H]3CNC(=N)N3)C)[C@@H](C)CC)[C@@H](C)CC	CHEMBL3977597	3.4		0	pIC50	inactive	other	6322
CC=1N=C(C=2SC=CC2N1)NC=3NN=C4C3CN(C4(C)C)C(=O)N[C@H](CN(C)C)C=5C=CC=CC5	CHEMBL3128043	4.38		None	pIC50	inactive	other	6323
CC(=O)N1CCN(CC1)CC=2C=CC3=C(C2)CC[C@@H](C3)N4CCN(CC4=O)CCC=5C=CC(=CC5)F	CHEMBL386717	4.6		None	pIC50	inactive	other	6324
