kekuleSmiles	Molecule ChEMBL ID	pAct(norm)	DrugName	Assay Cell Type	Obs	ActivityFilter	Type	nre
CN1C(=NN=C1C2CCCCC2)SCCCN3CC4CCN(C4C3)C=5C=CC(=CC5)C(F)(F)F	CHEMBL3774463	6.5		HEK293	pIC50	active	patch	3507
CN1C(=NN=C1C2CCCCC2)SCCCN3CC4CCN(C4C3)C=5C=CC(=CC5)F	CHEMBL3774431	6.5		HEK293	pIC50	active	patch	3508
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC4CN(C4C3)C=5C=CC(=CC5)C(F)(F)F	CHEMBL3774515	6.2		HEK293	pIC50	active	patch	3509
CO[C@@H]1COCC[C@@H]1N[C@@H]2CC[C@@](C2)(C(=O)N3CCN(CC3)C=4C=C(C=CN4)C(F)(F)F)C(C)C	CHEMBL1683074	5.77		None	pIC50	intermediate	patch	3510
CC=1N=NN(N1)CC=2C=C(C=CC2/C=C/C(=O)N3CCC(CC3)C4=NN=C(O4)C)C(F)(F)F	CHEMBL4794562	4.64		CHO-K1	pIC50	intermediate	patch	3511
C[C@H]1C[C@H]2CSC(=N[C@]2(CO1)C3=NC=CS3)N	CHEMBL4214785	3.4		None	pIC50	inactive	patch	3512
O=C(CC1CCN(CC1)CC=2C=CN(C2)C=3C=CC(=CC3)C(F)(F)F)N4CCN(CC4)C(=O)N5CCCC5	CHEMBL562905	4.85		CHO	pIC50	intermediate	patch	3513
CC(CN1C=CN=C1)NC(=O)NC2CCN(CC2)CC=3C=CN(C3)C=4C=CC(=CC4)C(F)(F)F	CHEMBL549930	3.9		CHO	pIC50	inactive	patch	3514
CC1=NC=CN1CC(NC(=O)CC2CCN(CC2)CC=3C=CN(C3)C=4C=CC(=CC4)C(F)(F)F)C=5C=CC=CC5	CHEMBL561584	4.58		CHO	pIC50	inactive	patch	3515
O=C(NC1CCN(CC1)CC=2C=CN(C2)C=3C=CC(=CC3)C(F)(F)F)NS(=O)(=O)C=4C=CC(=CC4)F	CHEMBL555349	3.9		CHO	pIC50	inactive	patch	3516
COC=1C=CC=2N=CC=C(C2C1)CCN3CCC(CC3)NCC=4C=CC(=C(C4)Cl)Cl	CHEMBL4227060	6		None	pIC50	active	patch	3517
O=C(NC1CCN(CC1)CC=2C=CN(C2)C=3C=CC(=CC3)C(F)(F)F)N4CC(C4)N5CCS(=O)(=O)CC5	CHEMBL555135	3.9		CHO	pIC50	inactive	patch	3518
COC=1C=CC=2N=CC=C(C2C1)CCN3CCC(CC3)NCC=4C=CC5=C(N4)NC(=O)CO5	CHEMBL4229191	5.42		None	pIC50	intermediate	patch	3519
COC=1C=CC=2N=CC=C(C2C1)CC[C@H]3OC[C@@H](CO3)NCC=4C=CC(=C(C4)Cl)Cl	CHEMBL4226251	5.32		None	pIC50	intermediate	patch	3520
O=C(CC1CCN(CC1)CC=2C=CN(C2)C=3C=CC(=CC3)C(F)(F)F)N4CCOC(C4)C(=O)N5CCCC5	CHEMBL563884	3.9		CHO	pIC50	inactive	patch	3521
O=C(CC1CCN(CC1)CC=2C=CN(C2)C=3C=CC(=CC3)C(F)(F)F)NC(C=4C=CC(=CC4)F)C=5C=CC=[N+](C5)[O-]	CHEMBL538993	3.9		CHO	pIC50	inactive	patch	3522
COC=1C=CC=2N=CC=C(C2C1)CC[C@H]3OC[C@@H](CO3)NCC=4C=C5C(=CN4)OCCC5	CHEMBL4229223	4.92		None	pIC50	intermediate	patch	3523
CO[C@H]1C[C@H](C1)N2C(=O)N(C3=C2C4=C(N=C3)C=CC(=C4)C=5C=CC(=NC5)OCCCN6CCCC6)C	CHEMBL3936943	3.88		None	pIC50	inactive	patch	3524
COC=1C=CC=2N=CC=C(C2C1)CC[C@H]3OC[C@@H](CO3)NCC=4C=CC5=C(N4)NC(=O)CO5	CHEMBL4224881	5.6		None	pIC50	intermediate	patch	3525
CC=1C=CN(N1)C=2C=CC=C(C2)[C@H](CC(=O)O)CN3CC[C@H](C3)CCC=4C=CC5=C(N4)NCCC5	CHEMBL4247149	4.7		HEK293	pIC50	intermediate	patch	3526
CC1=NC(=C(N1)C=2C=CC=C(C2)[C@H](CC(=O)O)CN3CC[C@H](C3)CCC=4C=CC5=C(N4)NCCC5)C	CHEMBL4249629	3.8		HEK293	pIC50	inactive	patch	3527
CC=1C=CC(=CC1)N2CCN(CC2)CC(O)COC=3C=CC=CC3C(=O)CCC=4C=CC=CC4	CHEMBL1963594	5.37		None	pIC50	intermediate	patch	3528
CC=1NC=2C=CC=CC2C1C3CCN(C3)CC=4C=CC(=CC4)/C=C/C(=O)NO	CHEMBL1089344	4.87		CHO	pIC50	intermediate	patch	3529
N[C@H]1CCCC[C@H]1NC=2C=C3N=CNC(=O)C3=C(N2)NC=4C=CC=C5C4NC=C5	CHEMBL3262356	3.92		None	pIC50	inactive	patch	3530
CC=1NC=2C=CC=CC2C1CCN3CCCC3C=4C=CC(=CC4)/C=C/C(=O)NO	CHEMBL1089700	4.71		CHO	pIC50	intermediate	patch	3531
O=C(C1=NN=C(O1)C=2C=CC=CC2)N3CC(C3)OC=4C=CC(=CC4)CN5CC6(C5)COC6	CHEMBL3785663	4.55		None	pIC50	inactive	patch	3532
FC=1C=CC(=CC1)CN2CCN(CC2)C3=NN4C(=NN=C4C(F)(F)F)CC3	CHEMBL2346972	4.53		None	pIC50	inactive	patch	3533
O=C(/C=C/C=1C=CC(=CC1)CN2CCCC(C2)C3=CNC4=C3C=CC=C4)NO	CHEMBL1094040	4.53		CHO	pIC50	inactive	patch	3534
CN(CC1CCOCC1)C2CCN(CC2)C3=NC=4C=CC=CC4N3CC=5C=CC(=CC5)F	CHEMBL550818	7.54		None	pIC50	active	patch	3535
CSC1=NN2C3=C(C(=NC2=C1S(=O)(=O)C=4C=CC=CC4)C)CCCC3	CHEMBL1091919	5.08		None	pIC50	intermediate	patch	3536
CN(C)CCC1=C(C=2C=CC=CC2C1)CC=3C=NC=CN3	CHEMBL559251	5.26		None	pIC50	intermediate	patch	3537
CC=1C=CC2=C(C1)CC(=C2CC=3C=NC=CN3)CCN(C)C	CHEMBL1092600	6.28		None	pIC50	active	patch	3538
CC=1C=CC2=C(C1)CC(=C2[C@@H](C)C=3C=NC=CN3)CCN(C)C	CHEMBL1092663	6.44		None	pIC50	active	patch	3539
COC=1N=CC=NC1[C@H](C)C2=C(CC3=C2C=CC(=C3)F)CCN(C)C	CHEMBL1090526	5.74		None	pIC50	intermediate	patch	3540
COC=1C=C2C(=CC1NC=3N=CC(=C(N3)NC=4C=CC=CC4S(=O)(=O)C(C)C)Cl)CCC(C2(C)C)N	CHEMBL3786892	4.36		None	pIC50	inactive	patch	3541
CN(C=1N=CC(=C2C1C=C(S2)C=3C=CC=CC3)C(=O)N)[C@H]4CCCNC4	CHEMBL4097424	5.57		None	pIC50	intermediate	patch	3542
CC1=NC=2C=CC=CC2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C=6C=CC7=C(C6)CC(=O)NS7(=O)=O)C=8C=CC=CC8	CHEMBL1784469	3.9		None	pIC50	inactive	patch	3543
NC(=O)C=1C=CC(=C2C1NC(=C2)C=3C=CC(=CC3)F)N[C@H]4CCCNC4	CHEMBL4088986	5.17		None	pIC50	intermediate	patch	3544
COC=1C=C(C=CC1NC=2N=CC(=C(N2)C3=CN=C4N3C=CC=C4)Cl)N5CCN(CC5)C(=O)C	CHEMBL1809044	3.9		None	pIC50	inactive	patch	3545
CN1CCN(CC1)C=2C=CC(=CC2)NC(=O)C=3C=C(N=CN3)N(C)CC=4C=CC(=CC4)C(F)(F)F	CHEMBL4070191	6.05		None	pIC50	active	patch	3546
O=C(/C=C/C=1C=CC2=C(C1)CN(C2)S(=O)(=O)C3=CC=CS3)NO	CHEMBL1808631	3.92		None	pIC50	inactive	patch	3547
CC1=NC=2C=CC=CC2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C(C)(C)C)C=6C=CC=C(C6)F	CHEMBL1784405	5.8		None	pIC50	intermediate	patch	3548
CN1C=NC(=C1)S(=O)(=O)N2CC=3C=CC(=CC3C2)/C=C/C(=O)NO	CHEMBL1808634	3.92		None	pIC50	inactive	patch	3549
CC1=NC=2C=CC=CC2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C=6C=CC=C(C6)C(=O)NO)C=7C=CC=CC7	CHEMBL1784468	4.1		None	pIC50	inactive	patch	3550
CC=1C=CC(=CC1)S(=O)(=O)N2CC=3C=CC(=CC3C2)/C=C/C(=O)NO	CHEMBL1808635	3.92		None	pIC50	inactive	patch	3551
CCCNCC(O)COC=1C=CC(=CC1C(=O)CCC=2C=CC=CC2)O	CHEMBL1264	4.4		None	pIC50	inactive	patch	3552
CC1=NC=2C=CC=CC2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C=6C=C(C=CC6F)S(=O)(=O)N)C=7C=CC=C(C7)F	CHEMBL1784511	4.38		None	pIC50	inactive	patch	3553
CC1=NC=2C=CC=CC2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C=6C=C(C(=CC6Cl)F)S(=O)(=O)NC7CC7)C=8C=CC=C(C8)F	CHEMBL1784518	4.92		None	pIC50	intermediate	patch	3554
CC1=NC=2C=CC=CC2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C=6C=C(C(=CC6Cl)F)NS(=O)(=O)C)C=7C=CC=C(C7)F	CHEMBL1782081	4.5		None	pIC50	inactive	patch	3555
CC(C)(O)[C@H]1CC[C@@H](CC1)NC=2C=CN3N=CC(=C3N2)C=4C=CC=C(C4)C(F)(F)F	CHEMBL3355552	3.92		None	pIC50	inactive	patch	3556
CC(=O)NC=1C=CC=C(C1C)NC=2N=CN=C(N2)N3CCC(CC3)OCC=4C=CC(=CC4)C	CHEMBL1813043	5.71		HEK293	pIC50	intermediate	patch	3557
CC(=O)N1CCN2CCCC3=C(C4=C(N3C=5C=CC(=C(C5)NC[C@H]2C1)C(=O)N)CC(CC4=O)(C)C)C	CHEMBL1779535	4.61		None	pIC50	intermediate	patch	3558
ClC=1C=NC(=NC1)N2CCC(CC2)[C@H]3C[C@H]3CCOC=4C=CC(=CC4)N5C=CN=N5	CHEMBL1771101	4.72		None	pIC50	intermediate	patch	3559
CC=1C=NC(=NC1)N2CCC(CC2)[C@H]3C[C@H]3CCOC=4N=C(C=C(N4)C#N)C	CHEMBL1771103	5.4		None	pIC50	intermediate	patch	3560
C[C@@]1(CC[C@@H](CC1)NC=2C=CC3=NC=C(N3N2)C=4C=CC=C(C4)C(F)(F)F)O	CHEMBL3912135	4.92		None	pIC50	intermediate	patch	3561
O=C1CCCN1C2CCN(CC2)CCOC=3C=CC(=CC3)OC4=NC=5N=CC=CC5S4	CHEMBL2207738	5.6		None	pIC50	intermediate	patch	3562
CC=1N=C(N=C(C1Cl)OCCCN2CCCCC2)C=3C=CC(=CC3)F	CHEMBL3359237	5.81		HEK293	pIC50	intermediate	patch	3563
COC=1C=CC=2N=CC=C(C2N1)NC(=O)[C@@]3(CC[C@H](CC3)NCC=4C=C5C(=CN4)OCCO5)O	CHEMBL1926763	4.62		None	pIC50	intermediate	patch	3564
O=C(CCC=1C=CC=CC1)C=2C=CC=CC2OCC(O)CN3CCN(CC3)C(C=4C=CC=CC4)C=5C=CC=CC5	CHEMBL1915083	5.59		CHO	pIC50	intermediate	patch	3565
COC=1C=CC2=C(C1)CN(CCS2)C(=O)N3CCN(CC3)CC=4C=CC5=C(C4)OCO5	CHEMBL3958409	5.6		HEK293	pIC50	intermediate	patch	3566
CCC[C@@H]1C[C@@H](CC[C@@H]1N2CC[C@@H](C2=O)NC(=O)C=3C=C(C=CC3NC(=O)NCC)C(F)(F)F)N(C)C(C)C	CHEMBL3577942	4.85		HEK293	pIC50	intermediate	patch	3567
CC1=NC(=NO1)[C@@]2(N[C@H](CC3=C2NC4=C3C=CC=C4)C5=NC(=CN5)C=6C=CC(=CN6)F)C=7C=NN(C7)C	CHEMBL3582317	4.92		None	pIC50	intermediate	patch	3568
N#CC=1C(=CC(=NC1NC(=S)NC=2C=CC=CC2)C=3C=CC=CC3)C=4C=CC=CC4	CHEMBL3408381	4.32		HEK293	pIC50	inactive	patch	3569
CCCNCC(O)COC=1C=CC=CC1C(=O)CCC=2C=CC=CC2	CHEMBL631	5.54	propafenone	CHO	pIC50	intermediate	patch	3570
O=C(CCC=1C=CC=CC1)C=2C=CC=CC2OCC(O)CN3CCC(CC3)C=4C=CC=CC4	CHEMBL1914835	5.46		CHO	pIC50	intermediate	patch	3571
O=C(CCC=1C=CC=CC1)C=2C=C(C=CC2OCC(O)CN3CCN(CC3)C(C=4C=CC=CC4)C=5C=CC=CC5)F	CHEMBL1915364	5.32		CHO	pIC50	intermediate	patch	3572
COC=1C=CC=2N=CC(=C(C2N1)CCC34CCC(CC3)(CO4)NCC=5C=C(C6=C(N5)NC(=O)CO6)C)F	CHEMBL3604691	5.7		CHO	pIC50	intermediate	patch	3573
C[C@H]1CC=2C(=NC=NC2OC=3C=CC4=C(C3)C=CN4C(=O)NC=5C=C(NN5)C6(CC6)C)CN1	CHEMBL3746776	4.56		None	pIC50	inactive	patch	3574
CC(C)(C)C1=CC(=NO1)NC(=O)N2C=CC3=C2C=CC(=C3)OC=4N=CN=C5C4CCNC5	CHEMBL3746226	5.15		None	pIC50	intermediate	patch	3575
COC=1C=NC(=CN1)C(=O)NC=2C=C(C(=C(C2)[C@@]3(C[C@H](SC(=N3)N)C=4C(=NOC4C)C)C)F)F	CHEMBL3805852	6.19		None	pIC50	active	patch	3576
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC=CC5	CHEMBL3913062	5.33		HEK293	pIC50	intermediate	patch	3577
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3935692	6.39		HEK293	pIC50	active	patch	3578
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC[C@]4(C3)C[C@@H]4C=5C=CC=CC5C(F)(F)F	CHEMBL3975989	6.05		HEK293	pIC50	active	patch	3579
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC[C@@]4(C3)C[C@H]4C=5C=CC(=CC5F)C(F)(F)F	CHEMBL3935776	6.6		HEK293	pIC50	active	patch	3580
CN1C(=NN=C1C=2C=CC(=CC2)S(=O)(=O)N)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3959240	6.65		HEK293	pIC50	active	patch	3581
CC(C)OC=1C=C(C=CC1F)[C@@](CC=2C=CC=CC2)(NC[C@@H](O)CC(F)(F)F)C=3C=C(C=C(C3)OC(F)(F)C(F)F)F	CHEMBL3814963	4.64		HEK293	pIC50	intermediate	patch	3582
C[C@@H](OC=1N=C(C=C2C1SC=N2)C=3C=NN(C3)C(F)F)[C@H]4CNC(=O)O4	CHEMBL3622203	3.92		None	pIC50	inactive	patch	3583
COC=1C=CC(=CC1)C2=CC(=O)C=3C=C(C=CC3O2)Cl	CHEMBL301692	4.89		HEK293	pIC50	intermediate	patch	3584
COC=1C=CC=2C=CC(=O)N(C2C1)CCN3CCC(CC3)NCC=4C=C5C(=CN4)OCCO5	CHEMBL1916539	4.47		None	pIC50	inactive	patch	3585
CC=1N=CC=NC1C(=O)N2CCC(CC2)[C@H](N)CC=3C=C(C(=CC3F)F)F	CHEMBL485124	4.26		None	pIC50	inactive	patch	3586
CC=1C=C2N=CC(=C(N2N1)C)C(=O)N3CCC(CC3)[C@H](N)CC=4C=C(C(=CC4F)F)F	CHEMBL484528	4.74		None	pIC50	intermediate	patch	3587
CC1=NN=C(O1)C2=NN(C3=C2C=C(C=C3)NC=4N=CC=C(N4)C=5C=C(N(N5)C)CN(C)C)C	CHEMBL4784088	5.66		None	pIC50	intermediate	patch	3588
COC=1C=CC=2C=CC(=O)N(C2N1)CCN3CCC(CC3)NCC=4C=C5C(=CN4)OCCO5	CHEMBL1916545	4.4		None	pIC50	inactive	patch	3589
NC=1N=CC(=CC1C=2C=CC(=CC2)C(F)(F)F)C=3C=CC(=CC3)C(=O)N4CCOCC4	CHEMBL2181489	5.52		lung	pIC50	intermediate	patch	3590
CC(C)(NC(=O)C1=NN(C(=C1CO)C=2C=CC(=CC2)Cl)C=3C=CC(=CC3Cl)Cl)C4=NOC(=N4)C(F)(F)F	CHEMBL1814331	3.92		HEK293	pIC50	inactive	patch	3591
CC=1C=C(N(N1)C=2C=C(N=C(N2)C3=CC=C(O3)C)NC(=O)CN4CCN(CC4)C)C	CHEMBL270467	6.02		HEK293	pIC50	active	patch	3592
COC=1C=CC(=CC1)C2=NN=C(O2)C(=O)N3CCC(CC3)OC=4C=CC(=NC4)CN5CCCC5	CHEMBL3786609	4.6		None	pIC50	inactive	patch	3593
CN1C(=NN=C1C2=NC=CS2)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3914556	6.35		HEK293	pIC50	active	patch	3594
COC=1C=CC(=CC1)C2=NN=C(O2)C(=O)N3CC(C3)OC=4C=CC(=C(C4)F)CN5CCN(CC5)C	CHEMBL3787461	3.88		None	pIC50	inactive	patch	3595
CN1C(=NN=C1C=2C=COC2)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3985419	6.82		HEK293	pIC50	active	patch	3596
O=C1C=CC=2N=CC(=C3C2N1C[C@@]3(O)CC45CCC(CC4)(CO5)NCC=6C=C(C7=C(C6Cl)OCCO7)Cl)F	CHEMBL3425827	3.62		CHO	pIC50	inactive	patch	3597
CC=1C=C(ON1)C2=NN=C(N2C)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3978613	6.69		HEK293	pIC50	active	patch	3598
CC1=CC(=NO1)CN2CCN(CC2)C=3C(=CN=C4C3N=C(N4)C=5C=CC(=CC5)N6CCOCC6)Br	CHEMBL2203765	3.88		None	pIC50	inactive	patch	3599
CN1C(=NN=C1C=2C=CC(=CC2)C(=O)N)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3899125	6.09		HEK293	pIC50	active	patch	3600
CN1C(=NN=C1C=2C=NC=CN2)SCCCN3CC[C@@]4(C3)C[C@@H]4C=5C=CC(=CC5)C(F)(F)F	CHEMBL3955608	6.59		HEK293	pIC50	active	patch	3601
CC=1C=C(C=CC1C=2C=CN=C(C2)NCC=3C=C(NN3)C=4C=CC=CN4)C#N	CHEMBL2147024	5.96		CHO	pIC50	intermediate	patch	3602
NCCOC=1C=CC=2N=CC(=C(C2N1)CCC34CCC(CC3)(CO4)NCC=5C=CC6=C(N5)NC(=O)CO6)F	CHEMBL3605133	3.92		CHO	pIC50	inactive	patch	3603
CC(C=1C=CC(=CC1)C#N)N2C[C@@H]([C@@H](C2)C(=O)N3CCC[C@H]3C#N)N	CHEMBL249601	5		None	pIC50	intermediate	patch	3604
COC=1C=CC=2N=CC(=C(C2N1)C[C@H](O)C34CCC(CC3)(CO4)NCC=5C=CC6=C(N5)NC(=O)CO6)F	CHEMBL3305167	4.74		CHO	pIC50	intermediate	patch	3605
COC=1C=CC=C(C1)N2CCC3C2CN(C3)CCCSC4=NN=C(N4C)C=5C=NC=CN5	CHEMBL3774412	6.1		HEK293	pIC50	active	patch	3606
CC(=O)NC=1C=C(C=CC1N(C)CCN)NC=2C=C(N3N=CC(=C3N2)C#N)NC4CC4	CHEMBL3103192	3.4		CHO	pIC50	inactive	patch	3607
CN1C(=NN=C1C=2C=NC=CN2)SCCCN3CC4CCN(C4C3)C=5C=CC=CC5C(F)(F)F	CHEMBL3774783	5.85		HEK293	pIC50	intermediate	patch	3608
CN1C(=NN=C1C=2C=NC=CN2)SCCCN3CC4CCN(C4C3)C=5C=CC=CC5OC(F)(F)F	CHEMBL3774621	6.2		HEK293	pIC50	active	patch	3609
CNCC(=O)N1CCC(CC1)N2N=C(C(=C2C)NC=3N=CC(=C(N3)C=4C=NN5C4C=CC=C5)Cl)C	CHEMBL3822976	3.88		CHO-K1	pIC50	inactive	patch	3610
CN1C(=NN=C1C=2C=NC=CN2)SCCCN3CC4CCN(C4C3)C=5C=CC=C(C5)OC(F)(F)F	CHEMBL3774895	6.9		HEK293	pIC50	active	patch	3611
CNC(=O)C1=NN(C2=C1C=C(C=C2C)NC=3N=CC=C(N3)C=4C=C(N(N4)C)CN(C)C)C	CHEMBL4790107	3.8		None	pIC50	inactive	patch	3612
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC4CCN(C4C3)C=5C=CC=C(C5)C#N	CHEMBL3775534	6.1		HEK293	pIC50	active	patch	3613
CC=1N=COC1C2=NN=C(N2C)SCCCN3CC4CCN(C4C3)C=5C=CC(=CC5)C(F)(F)F	CHEMBL3774540	6.7		HEK293	pIC50	active	patch	3614
N#CC=1C=CC2=C(C1)CCN(C2)CC[C@H]3CC[C@@H](CC3)NC(=O)C=4C=CN=C5C4C=CC=C5	CHEMBL85606	6.19		HEK293	pIC50	active	patch	3615
COC=1C=C(C=CC1N2CC[C@H](C2)O)N3CC4=CN(N=C4C3=O)C=5C=CC(=CC5)Cl	CHEMBL3589152	3.5		CHO	pIC50	inactive	patch	3616
COC=1C=CC(=CC1)CCCN2C(=O)N(C[C@H]2C=3C=CC(=CC3)OC)NS(=O)(=O)C	CHEMBL570360	4.84		None	pIC50	intermediate	patch	3617
CN1N=CC=C1[C@H]2CCCC[C@@H]2OC=3C=C(C(=CC3Cl)S(=O)(=O)NC=4C=CN=CN4)F	CHEMBL4633566	3.4		HEK293	pIC50	inactive	patch	3618
CCOC=1C=CC(=CC1)CCN2C(=O)N(C[C@@H]2C=3C=CC(=CC3)OC)NS(=O)(=O)C	CHEMBL570805	4.91		None	pIC50	intermediate	patch	3619
COC=1C=C(C=CC1N2C[C@@H]([C@H](C2)O)O)N3CC4=CN(N=C4C3=O)C=5C=CC(=CC5)Cl	CHEMBL3589153	3.92		CHO	pIC50	inactive	patch	3620
CN1N=CC(=C1Cl)C(=O)N2CCC(CC2)NC3=CC(=O)NC4=C3C=C(C=C4)F	CHEMBL3290767	3.4		None	pIC50	inactive	patch	3621
COC=1C=CC(=CC1)CCN2C(=O)N(C[C@@H]2C=3C=CC(=CC3)OC)NS(=O)(=O)CC=4C=CC=CC4	CHEMBL569628	5.36		None	pIC50	intermediate	patch	3622
CCCN(CCO)CCCOC=1C=C2N=CN=C(C2=CC1OC)NC=3C=C(NN3)CC(=O)NC=4C=CC=C(C4F)F	CHEMBL214849	3.92		None	pIC50	inactive	patch	3623
COCCS(=O)(=O)C=1C=CC(=CC1)C=2C=CC(=CC2)CCN3CCC[C@H]3C	CHEMBL1934520	5.13		None	pIC50	intermediate	patch	3624
COCC=1C=NC(=NC1)N2CCC(CC2)[C@H]3C[C@H]3COCC=4C=CC(=CC4F)S(=O)(=O)C	CHEMBL3622175	4.89		None	pIC50	intermediate	patch	3625
O=C1COC=2C=NC(=NC2N1)CNC34CCC(CC3)(OC4)C[C@@]5(CN6C(=O)C=CC7=C6C5=C(C=N7)F)O	CHEMBL3425807	4.52		CHO	pIC50	inactive	patch	3626
CC(C)CS(=O)(=O)N1C=CC2=C1N=C(C=C2C=3C=CC(=CC3)C(F)(F)F)N4CCN(CC4)C	CHEMBL3797717	5.68		CHO	pIC50	intermediate	patch	3627
CC=1C=NC(=CN1)C=2C=CC=C3C2C[C@@H](CO3)NC(=O)C=4C=CC(=NC4)OCC(F)(F)F	CHEMBL2069426	3.9		CHO	pIC50	inactive	patch	3628
CC(C)CS(=O)(=O)N1C=CC2=C1N=C(C=C2C=3C=CC(=CC3)C(F)(F)F)N4CCNCC4	CHEMBL3799529	5.85		CHO	pIC50	intermediate	patch	3629
CC=1N=CC(=CC1Cl)CNC2CCN(CC2)CCN3C(=O)C=CC4=C3C=C(C=N4)OC=5C=CC(=CC5)S(=O)(=O)N	CHEMBL3608744	4.09		None	pIC50	inactive	patch	3630
CC=1C=C(N(N1)CC=2C=CC(=CC2)C(=O)NCC3(CCOCC3)C4=NC(=CS4)C=5C=CC=CC5)C	CHEMBL3780951	4.35		None	pIC50	inactive	patch	3631
O=C1COC=2C=CC(=NC2N1)CNC3CCN(CC3)CCN4C(=O)C=CC5=C4N=C(C=C5)OC=6C=NC=NC6	CHEMBL3608746	3.05		None	pIC50	inactive	patch	3632
CC1(NCCC2=C1OC3=C2C=CC(=C3)S(=O)(=O)C=4C=CC=C(C4)F)C	CHEMBL1935594	6		None	pIC50	active	patch	3633
